town_source,planning_area,match_method,point_count_in_planning_area,point_share_in_town,n_obs,coef_good_school_within_1km,p_value,premium_pct,sign,significant_5pct
ANG MO KIO,ANG MO KIO,exact_name,,,9206,0.015428707966903588,1.3566302634429158e-05,0.015548344971239025,Positive,True
BEDOK,BEDOK,exact_name,,,11717,0.009029971203110972,9.355897495765174e-05,0.009070864388491806,Positive,True
BISHAN,BISHAN,exact_name,,,3923,-0.0411575731959616,2.4926179679071016e-20,-0.040322101480461336,Negative,True
BUKIT BATOK,BUKIT BATOK,exact_name,,,9470,-0.01456683636586911,2.356870793854936e-12,-0.014461253297169407,Negative,True
BUKIT MERAH,BUKIT MERAH,exact_name,,,8433,-1.424981786868765e-17,0.007378203967726506,0.0,Zero,True
BUKIT PANJANG,BUKIT PANJANG,exact_name,,,8110,-6.835298763180344e-17,2.0132487483336903e-52,-1.1102230246251565e-16,Zero,True
CHOA CHU KANG,CHOA CHU KANG,exact_name,,,10194,0.015821250119631765,1.9515680137229575e-22,0.015947068757600436,Positive,True
CLEMENTI,CLEMENTI,exact_name,,,4871,0.019453768563947156,0.00014492039613367696,0.019644226154137412,Positive,True
GEYLANG,GEYLANG,exact_name,,,5591,-0.0020696137277756987,0.5595405797113746,-0.002067473553983512,Negative,False
HOUGANG,HOUGANG,exact_name,,,11383,0.004197708617967829,0.06369556956225379,0.004206531337537456,Positive,False
JURONG EAST,JURONG EAST,exact_name,,,4601,-0.014702921380474526,0.00025029233854292774,-0.01459536122666194,Negative,True
JURONG WEST,JURONG WEST,exact_name,,,14826,0.030029429981658,2.275519301475277e-50,0.030484860657805424,Positive,True
MARINE PARADE,MARINE PARADE,exact_name,,,1389,3.5814915153730222,2.1172840002682013e-213,34.92708670703096,Positive,True
PASIR RIS,PASIR RIS,exact_name,,,6517,3.629027167706207e-17,1.7177275159900562e-17,0.0,Zero,True
PUNGGOL,PUNGGOL,exact_name,,,16452,-0.05571734591245418,4.184610010256991e-264,-0.05419356583321422,Negative,True
QUEENSTOWN,QUEENSTOWN,exact_name,,,5274,-0.03634615462597728,1.3004514494917505e-15,-0.035693563430479025,Negative,True
SEMBAWANG,SEMBAWANG,exact_name,,,6868,-0.0016676474050093537,0.4481342808955521,-0.0016662576537214147,Negative,False
SENGKANG,SENGKANG,exact_name,,,18474,-0.02633936225807173,1.7741145152591905e-32,-0.025995506848225935,Negative,True
SERANGOON,SERANGOON,exact_name,,,4014,-0.06395793914977757,2.4574263651949256e-32,-0.06195554635174627,Negative,True
TAMPINES,TAMPINES,exact_name,,,15478,-0.003093078471667607,0.04749502020886135,-0.0030882998326231537,Negative,True
TOA PAYOH,TOA PAYOH,exact_name,,,7199,0.0035961419689998775,0.4675085591616279,0.0036026158455306767,Positive,False
WOODLANDS,WOODLANDS,exact_name,,,16066,-0.004424990525178339,0.0008532190856024497,-0.004415214679261759,Negative,True
YISHUN,YISHUN,exact_name,,,15398,-0.001522125708936899,0.281401203077774,-0.001520967863136824,Negative,False
CENTRAL AREA,DOWNTOWN CORE,spatial_fallback,4.0,0.04395604395604396,1744,-0.08634133490952611,0.0005756303665209689,-0.08271892227559374,Negative,True
CENTRAL AREA,OUTRAM,spatial_fallback,47.0,0.5164835164835165,1744,-0.08634133490952611,0.0005756303665209689,-0.08271892227559374,Negative,True
CENTRAL AREA,ROCHOR,spatial_fallback,40.0,0.43956043956043955,1744,-0.08634133490952611,0.0005756303665209689,-0.08271892227559374,Negative,True
KALLANG/WHAMPOA,KALLANG,spatial_fallback,152.0,0.6440677966101694,5866,0.04131968331178391,1.0987973429722468e-34,0.04218522151994142,Positive,True
KALLANG/WHAMPOA,NOVENA,spatial_fallback,84.0,0.3559322033898305,5866,0.04131968331178391,1.0987973429722468e-34,0.04218522151994142,Positive,True
