town,rows,treated_share,coef_log_points,std_err,p_value,premium_pct_per_additional_good_school_1km,premium_sgd_per_additional_good_school_1km_at_town_mean_price,premium_sgd_per_additional_good_school_1km_at_town_median_price,town_mean_resale_price,town_median_resale_price,ci_low_pct,ci_high_pct,r_squared
SENGKANG,18474,0.6544873876799827,0.06654722905410088,0.0014223166719925103,0.0,0.06881144183656573,36356.77126575388,35644.32687134105,528353.5745712895,518000.0,0.06583602198044014,0.07179516796414176,0.9387733046142128
GEYLANG,5591,0.5194061885172598,0.0728656362670908,0.003478742137992646,9.290201532849055e-94,0.07558600745413546,38423.338757678364,34391.633391631636,508339.3084492935,455000.0,0.06827724727580109,0.08294477148257595,0.969831154648787
SERANGOON,4014,0.5072247135027405,-0.08359840008855152,0.004207525838365914,9.767787851254592e-84,-0.08019942623983745,-45394.07664234986,-42505.69590711385,566014.9800398605,530000.0,-0.08775360070400628,-0.07258269679942642,0.9586674312615986
QUEENSTOWN,5274,0.32062950322335987,-0.04552414342111132,0.0024710083111644694,1.9089281374049852e-73,-0.04450346666170435,-30002.159894993405,-31352.692263170713,674153.3221008723,704500.0,-0.04911991665270865,-0.03986460415949833,0.9704117936980519
PUNGGOL,16452,0.50066861171894,-0.024976337427562008,0.0015235236744078312,6.38185293927331e-60,-0.024667009357175806,-13421.173209680295,-13073.514959303177,544094.0575869195,530000.0,-0.027575113329592504,-0.021750208498418355,0.9408531565451999
HOUGANG,11383,0.8459984186945445,0.01865527616032622,0.001496803724038651,2.026175014056797e-35,0.018830372956197605,9812.190965645743,9226.882748536827,521083.19832381624,490000.0,0.015845774478852048,0.02182374031194456,0.9608608055110418
WOODLANDS,16066,0.5187974604755384,-0.02414435293457532,0.002035425484931214,2.5491135163282605e-32,-0.023855209777959185,-11458.124583328447,-10973.396497861226,480319.5901431595,460000.0,-0.027741717307429137,-0.019953166314215842,0.9712077521641967
JURONG WEST,14826,0.6971536489950088,0.018815156740070775,0.0018285934355185328,9.545045643031295e-25,0.018993277169150113,8826.115902796331,8736.907497809052,464696.8411081883,460000.0,0.015347698169500434,0.0226519455235763,0.9540966884364512
CHOA CHU KANG,10194,0.5818128310771041,0.015789823040052452,0.0018088664036013072,2.974165477300391e-18,0.01591514100992275,7808.4962022713535,7766.588812842302,490633.177387679,488000.0,0.012319715004178722,0.019523336783923817,0.948112279479427
YISHUN,15398,0.8191323548512793,-0.012772214845436863,0.0015157064556251842,3.873857422404149e-17,-0.012690996257543996,-5728.528644777101,-5457.128390743918,451385.2599532407,430000.0,-0.015619726226659747,-0.009753552725732417,0.9684449026632782
CLEMENTI,4871,0.6068569082323958,0.02379408405437299,0.004326306795864522,4.001037219099973e-08,0.024079421895385922,13396.82496352006,11750.75788494833,556359.9085444467,488000.0,0.015432390967673015,0.03280008760620179,0.9692570155585947
KALLANG/WHAMPOA,5866,0.6878622570746675,0.01216443740915912,0.002284878263916875,1.0544576343697223e-07,0.012238725094936731,7286.915143104177,7037.266929588621,595398.2205318786,575000.0,0.00771568971655312,0.01678206168450802,0.9736105322875078
JURONG EAST,4601,0.5153227559226256,0.013308338337793926,0.003135389687602973,2.234813307803623e-05,0.013397288427076104,6352.8126026091295,5961.793350048866,474186.4472940665,445000.0,0.007188690015367927,0.019644158410556223,0.9664831434660524
SEMBAWANG,6868,0.8613861386138614,-0.008636416477349834,0.002248136413300189,0.00012336412108165877,-0.00859922976288463,-4320.511624383175,-4268.176097429209,502430.0714735003,496344.0,-0.01295807559250084,-0.004221134966738593,0.9724896263045687
BISHAN,3923,0.6905429518225847,-0.011878596499134851,0.003165802868297392,0.0001779473607935753,-0.01180832449122693,-8411.853091808629,-8147.743898946581,712366.356298751,690000.0,-0.017921043528419056,-0.005657558274852814,0.9451450330693573
TOA PAYOH,7199,0.8759549937491318,0.005613425411982109,0.0021562338433044484,0.00925116774185156,0.0056292102061767935,3156.073894806159,2702.020898964861,560660.1599888874,480000.0,0.0013881696959103795,0.009888212207455505,0.9770331554445795
ANG MO KIO,9206,0.050510536606560935,0.009160020551074916,0.004206322246131667,0.02945562286965417,0.009202101929948192,4421.038948871469,3818.8723009284995,480437.9458657398,415000.0,0.0009160482648122859,0.01755675144331792,0.9681502071509384
BUKIT BATOK,9470,0.7124604012671595,-0.004313866567830956,0.002449174316500562,0.07821101821016727,-0.004304575210808181,-2165.73392449545,-2044.6732251338863,503123.7272977825,475000.0,-0.00907283936682901,0.0004866334601729694,0.976399415992374
BEDOK,11717,0.5523598190663139,0.0021771536911711245,0.0017309038589262155,0.2084847055648809,0.002179525411155847,1051.3730557801216,937.1959267970143,482386.23436033115,430000.0,-0.0012146795511752684,0.005585265011702534,0.9586555701563101
TAMPINES,15478,0.48358961106086057,-0.0004510399936102003,0.0007208068361305511,0.5314926913685116,-0.00045093829036357835,-254.23758851315887,-243.5066767963323,563796.8519110997,540000.0,-0.001862085555931814,0.0009622040267665,0.962442653329396
