factor,value,count,mean_price,median_price,pct
malls_within_10min_walk,0,68066,512418.68356947665,470000.0,0.3044777454708119
malls_within_10min_walk,1,82300,536126.7670415553,515000.0,0.3681503019458734
malls_within_10min_walk,2,45735,524560.2196252324,490000.0,0.20458510400357863
malls_within_10min_walk,3,19960,522560.3429769539,475000.0,0.08928651308432119
malls_within_10min_walk,4,5940,584687.4548619529,556400.0,0.026571236859762915
malls_within_10min_walk,5,1194,571372.0887772194,550000.0,0.005341087005144263
malls_within_10min_walk,6,170,437394.2117647059,388000.0,0.0007604562737642585
malls_within_10min_walk,7,30,489959.2,459444.0,0.00013419816595839856
malls_within_10min_walk,9,59,521867.18644067796,498000.0,0.00026392305971818385
malls_within_10min_walk,10,26,483296.0,468000.0,0.00011630507716394543
malls_within_10min_walk,11,29,518612.9310344828,525000.0,0.0001297248937597853
malls_within_10min_walk,14,41,702753.3658536585,700000.0,0.0001834041601431447
school_count_1km,0,5010,554090.8433133733,512888.0,0.022411093715052562
school_count_1km,1,14962,583705.5415826761,546500.0,0.06692909863565198
school_count_1km,2,38435,549275.3637713022,510000.0,0.17193021695370164
school_count_1km,3,56381,527601.527170146,497000.0,0.25220755983001564
school_count_1km,4,51102,501005.015172596,475000.0,0.22859315589353613
school_count_1km,5,26986,503521.82713703404,480000.0,0.12071572355177812
school_count_1km,6,13466,533025.497290955,515000.0,0.060237083426526505
school_count_1km,7,10082,530115.7315671494,515000.0,0.045099530306419146
school_count_1km,8,5159,514798.6776274472,500000.0,0.023077611272645942
school_count_1km,9,1508,520293.94628647214,510000.0,0.0067456944755088346
school_count_1km,10,302,511335.00662251655,490000.0,0.0013509282039812123
school_count_1km,11,157,503173.06369426753,480000.0,0.0007023037351822859
good_school_count_1km,0,69002,525548.10211733,480000.0,0.30866472824871394
good_school_count_1km,1,81369,531217.0793587238,500000.0,0.36398568552896443
good_school_count_1km,2,58144,523260.1405878509,505000.0,0.26009393871617087
good_school_count_1km,3,14195,518212.92445508984,505000.0,0.0634980988593156
good_school_count_1km,4,840,577586.255952381,560000.0,0.00375754864683516
school_count_2km,0,48,321495.4791666667,307500.0,0.0002147170655334377
school_count_2km,1,723,469273.91977869987,462000.0,0.0032341757995974054
school_count_2km,2,559,566591.4472271914,550000.0,0.0025005591590248266
school_count_2km,3,3220,588642.3853291925,548000.0,0.014403936479534779
school_count_2km,4,9953,571185.0676941626,510000.0,0.04452247819279803
school_count_2km,5,13952,539348.4035450115,485000.0,0.06241109371505256
school_count_2km,6,17791,541387.2421612052,490000.0,0.07958398568552896
school_count_2km,7,27621,543638.5605209804,503000.0,0.12355625139789757
school_count_2km,8,28953,518828.5158843643,488000.0,0.12951464996645046
school_count_2km,9,31347,509701.807849874,480000.0,0.14022366360993066
school_count_2km,10,27507,500565.7071578144,478000.0,0.12304629836725564
school_count_2km,11,16229,512068.3649245178,482000.0,0.07259673451129502
school_count_2km,12,8905,524935.1424907355,502000.0,0.03983448892865131
school_count_2km,13,7113,514319.54843244766,498000.0,0.0318183851487363
school_count_2km,14,4114,505537.82395721925,488000.0,0.018403041825095057
school_count_2km,15,4486,528016.9378065091,510000.0,0.020067099082979198
school_count_2km,16,3302,552819.4514415506,542000.0,0.01477074479982107
school_count_2km,17,5429,540674.1679867379,525000.0,0.024285394766271527
school_count_2km,18,3975,550442.2580830189,533000.0,0.01778125698948781
school_count_2km,19,4644,534432.9394918174,530000.0,0.020773876090360098
school_count_2km,20,3150,557586.1625396826,550000.0,0.01409080742563185
school_count_2km,21,474,536608.3776371308,526000.0,0.0021203310221426974
school_count_2km,22,55,511728.65454545454,515000.0,0.0002460299709237307
good_school_count_2km,0,18023,499412.5829329191,450000.0,0.08062178483560725
good_school_count_2km,1,28862,567069.572679648,520000.0,0.12910758219637664
good_school_count_2km,2,62732,529184.0056385896,500888.0,0.28061731156340863
good_school_count_2km,3,40019,500246.66653739475,470000.0,0.17901588011630507
good_school_count_2km,4,41965,524579.421867747,500000.0,0.18772086781480654
good_school_count_2km,5,25691,537531.9521349889,523000.0,0.11492283605457392
good_school_count_2km,6,6241,534343.0547796828,501000.0,0.027917691791545515
good_school_count_2km,7,17,691411.7647058824,660000.0,7.604562737642586e-05
