specification,bandwidth_m,sample_size,cutoff_coef_log_points,cutoff_std_err,cutoff_p_value,cutoff_premium_pct,cutoff_ci_low_pct,cutoff_ci_high_pct,r_squared
controlled,100,32185,0.0034405612914296317,0.002222368653873146,0.1215860498297876,0.0034464868161911966,-0.0009148625280253064,0.007826874946381901,0.9252047510245975
school_fe,100,32185,0.0024341244785430313,0.0021421782770737387,0.25583741680718275,0.0024370893646774583,-0.0017629890503738643,0.006654839593635664,0.9307966695152119
uncontrolled,100,32185,-0.017249434608148144,0.00789310911829903,0.02886107213279501,-0.01710151484293143,-0.03219042246550663,-0.0017773593590748593,0.003931341752805739
controlled,200,63158,-0.00036027076348089807,0.0015875894928912672,0.8204786245883902,-0.0003602058737622871,-0.0034659259337725956,0.0027551932301885795,0.9232953068575825
school_fe,200,63158,-0.001857473146685152,0.0015447338384790396,0.22918723604567282,-0.0018557491110550162,-0.0048732385244038,0.001170890133965763,0.9286701578973864
uncontrolled,200,63158,-0.04054440623211107,0.0056924666831050675,1.0601212356072272e-12,-0.03973347825343543,-0.05038785002227675,-0.02895956753620199,0.0042144745091301505
controlled,300,88894,-0.0007995042216922209,0.001332977125252657,0.5486472628530905,-0.0007991847033497201,-0.0034063246550276594,0.0018147756595907616,0.9225174521613838
school_fe,300,88894,-0.0030553045418181394,0.0013052670589597556,0.019245022394775876,-0.003050641848754365,-0.005597901010054529,-0.0004968576316027873,0.9277975016558475
uncontrolled,300,88894,-0.05017736023445638,0.004763119098639703,5.986305605081305e-26,-0.048939270812674907,-0.05777678480259274,-0.040018866004252085,0.003693946783371982
controlled,500,130610,-0.004040521612587174,0.001073946464136464,0.00016834988372250922,-0.004032369688174442,-0.006126611986226771,-0.0019337145032736203,0.9218517251848786
school_fe,500,130610,-0.0061166072750230855,0.0010547564195376635,6.66833308260232e-09,-0.006097938914481071,-0.00815053267220267,-0.00404109739409686,0.9275204897178928
uncontrolled,500,130610,-0.05308976149743664,0.00379261178713737,1.5985493498902717e-44,-0.05170511170726666,-0.05872814461044373,-0.044629678436569065,0.002696984576605277
