town,count,pct,town_median_price,town_mean_price
SENGKANG,18474,0.08263923059718184,518000.0,528353.5745712894
PUNGGOL,16452,0.07359427421158578,530000.0,544094.0575869195
WOODLANDS,16066,0.07186759114292104,460000.0,480319.59014315944
TAMPINES,15478,0.06923730709013644,540000.0,563796.8519110996
YISHUN,15398,0.06887944531424738,430000.0,451385.2599532407
JURONG WEST,14826,0.06632073361664058,460000.0,464696.8411081883
BEDOK,11717,0.052413330351151866,430000.0,482386.23436033115
HOUGANG,11383,0.05091925743681503,490000.0,521083.19832381624
CHOA CHU KANG,10194,0.045600536792663834,488000.0,490633.177387679
BUKIT BATOK,9470,0.04236188772086782,475000.0,503123.7272977825
ANG MO KIO,9206,0.04118094386043391,415000.0,480437.9458657398
BUKIT MERAH,8433,0.03772310445090584,650000.0,637771.1405952804
BUKIT PANJANG,8110,0.036278237530753744,480000.0,502550.4363353884
TOA PAYOH,7199,0.03220308655781704,480000.0,560660.1599888874
SEMBAWANG,6868,0.030722433460076047,496344.0,502430.0714735003
PASIR RIS,6517,0.029152314918362784,570000.0,585978.1680036827
KALLANG/WHAMPOA,5866,0.026240214717065533,575000.0,595398.2205318786
GEYLANG,5591,0.02501006486244688,455000.0,508339.3084492935
QUEENSTOWN,5274,0.023592037575486467,704500.0,674153.3221008723
CLEMENTI,4871,0.021789308879445315,488000.0,556359.9085444467
JURONG EAST,4601,0.020581525385819727,445000.0,474186.4472940665
SERANGOON,4014,0.01795571460523373,530000.0,566014.9800398605
BISHAN,3923,0.017548646835159918,690000.0,712366.356298751
CENTRAL AREA,1744,0.00780138671438157,570000.0,694550.974059633
MARINE PARADE,1389,0.006213375083873853,490000.0,558525.2245356372
BUKIT TIMAH,486,0.002174010288526057,818000.0,803699.641728395
